,lng,lat,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
35,-121.02023740509031,36.213850532004,1.0,199290.0,88.5493,88.5493,Salinas,"(36.6883, -121.6317)",[88.5493],[199290],['Salinas'],"[(36.6883, -121.6317)]",
36,-121.66741411586356,37.79773379975135,2.0,186425.0,22.3202,35.6835,Livermore,"(37.6868, -121.7607)","[22.3202, 35.6835]","[88403, 98022]","['Livermore', 'Tracy']","[(37.6868, -121.7607), (37.7269, -121.4523)]",
37,-116.66258088588388,35.70544355717151,1.0,389060.0,351.2769,351.2769,Victorville,"(34.5277, -117.3536)",[351.2769],[389060],['Victorville'],"[(34.5277, -117.3536)]",
38,-117.30975759665712,35.15792835350576,1.0,389060.0,94.7403,94.7403,Victorville,"(34.5277, -117.3536)",[94.7403],[389060],['Victorville'],"[(34.5277, -117.3536)]",
39,-120.1141900100078,36.46805401942024,2.0,178231.0,59.8979,66.781,Madera,"(36.963, -120.0778)","[59.8979, 66.781]","[82772, 95459]","['Madera', 'Hanford']","[(36.963, -120.0778), (36.3274, -119.6549)]",
40,-115.47609024946628,35.236144811172295,1.0,361831.0,285.3378,285.3378,Indio,"(33.7346, -116.2346)",[285.3378],[361831],['Indio'],"[(33.7346, -116.2346)]",
41,-115.3682274643374,34.86461663725625,1.0,361831.0,260.0961,260.0961,Indio,"(33.7346, -116.2346)",[260.0961],[361831],['Indio'],"[(33.7346, -116.2346)]",
42,-116.74887111398698,33.82824857317465,1.0,191170.0,57.7007,57.7007,Hemet,"(33.7341, -116.9969)",[57.7007],[191170],['Hemet'],"[(33.7341, -116.9969)]",
43,-121.43011598858006,36.17474230317073,1.0,199290.0,124.0883,124.0883,Salinas,"(36.6883, -121.6317)",[124.0883],[199290],['Salinas'],"[(36.6883, -121.6317)]",
44,-115.92911394700754,34.66907549308991,1.0,361831.0,216.2214,216.2214,Indio,"(33.7346, -116.2346)",[216.2214],[361831],['Indio'],"[(33.7346, -116.2346)]",
45,-117.33133015368288,35.84232235808795,1.0,389060.0,172.47060000000002,172.47060000000002,Victorville,"(34.5277, -117.3536)",[172.47060000000002],[389060],['Victorville'],"[(34.5277, -117.3536)]",
46,-116.0369767321364,35.84232235808795,1.0,361831.0,441.717,441.717,Indio,"(33.7346, -116.2346)",[441.717],[361831],['Indio'],"[(33.7346, -116.2346)]",
47,-120.65350393565215,40.750405076663085,1.0,121498.0,254.3825,254.3825,Redding,"(40.5698, -122.365)",[254.3825],[121498],['Redding'],"[(40.5698, -122.365)]",
48,-123.350073563874,38.83410186383296,1.0,314196.0,112.97460000000001,112.97460000000001,Santa Rosa,"(38.4458, -122.7067)",[112.97460000000001],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
49,-119.51015841328612,35.490348298588536,1.0,590845.0,59.3738,59.3738,Bakersfield,"(35.3529, -119.0359)",[59.3738],[590845],['Bakersfield'],"[(35.3529, -119.0359)]",
50,-119.83374676867274,34.66907549308991,1.0,198240.0,73.87060000000001,73.87060000000001,Santa Barbara,"(34.4285, -119.7202)",[73.87060000000001],[198240],['Santa Barbara'],"[(34.4285, -119.7202)]",
51,-119.31600540005414,35.079711895839225,1.0,590845.0,71.21889999999999,71.21889999999999,Bakersfield,"(35.3529, -119.0359)",[71.21889999999999],[590845],['Bakersfield'],"[(35.3529, -119.0359)]",
52,-119.8553193256985,35.43168595533864,1.0,590845.0,85.21010000000001,85.21010000000001,Bakersfield,"(35.3529, -119.0359)",[85.21010000000001],[590845],['Bakersfield'],"[(35.3529, -119.0359)]",
53,-123.45793634900286,40.026902843247626,1.0,121498.0,244.4624,244.4624,Redding,"(40.5698, -122.365)",[244.4624],[121498],['Redding'],"[(40.5698, -122.365)]",
54,-121.94785735719864,39.831361699081285,1.0,112132.0,18.429599999999997,18.429599999999997,Chico,"(39.7578, -121.8161)",[18.429599999999997],[112132],['Chico'],"[(39.7578, -121.8161)]",
55,-122.1635829274564,39.772699355831385,1.0,112132.0,33.309599999999996,33.309599999999996,Chico,"(39.7578, -121.8161)",[33.309599999999996],[112132],['Chico'],"[(39.7578, -121.8161)]",
56,-118.88455425953865,34.356209662423765,1.0,211045.0,34.2147,34.2147,Thousand Oaks,"(34.1914, -118.8756)",[34.2147],[211045],['Thousand Oaks'],"[(34.1914, -118.8756)]",
57,-120.3730606943171,35.04060366700595,1.0,142230.0,20.650599999999997,20.650599999999997,Santa Maria,"(34.9333, -120.4431)",[20.650599999999997],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
