X,Y,sol_id,GID_0,panels,panel.area,landscape.area,water,urban,power
928713.328787878,6645894.75339324,31047,DNK,7,0.0393957737450423,0.0393957737450423,0,1,
1031928.48975314,5997896.34809457,31048,DEU,7,0.00798684388282522,0.00798684388282522,0,0,
677831.861060376,6298328.62530908,31049,DEU,4,0.000241961944178096,0.000241961944178096,0,1,
658477.36758161,6344302.22274845,31050,DEU,2,8.29989430831047e-005,8.29989430831047e-005,0,0,
2344180.97850371,6019191.71101367,31051,UKR,9,0.298793732544452,0.298793732544452,0,0,14.5882137496302
1082719.55547478,5785999.6765235,31052,AUT,2,5.68613740436995e-005,5.68613740436995e-005,0,0,
691840.444753446,6014898.60616335,31053,DEU,3,0.00154732840182539,0.00154732840182539,0,1,
1378975.90602149,6321323.87154291,31054,POL,2,2.3880983822979e-005,2.3880983822979e-005,0,1,
811982.577856182,6376761.75376935,31055,DEU,3,2.42860745264334e-005,2.42860745264334e-005,0,0,
1775539.32552925,6930793.11633851,31056,EST,4,0.00148808776921028,0.00148808776921028,0,0,
1193804.84511425,5127261.25015879,31057,ITA,3,0.0231205400194954,0.0231205400194954,0,0,1.68909290826319
768982.857815343,6087289.56184509,31058,DEU,3,0.000146380136014428,0.000146380136014428,0,0,
662151.511827902,6649636.31906132,31059,DNK,2,0.000904422001129016,0.000904422001129016,0,0,
785423.938075097,6010855.95393816,31060,DEU,3,0.000954317847028375,0.000954317847028375,0,0,
916959.198864142,6398189.10378257,31061,DEU,5,0.0720397932369374,0.0720397932369374,0,0,4.40045236054898
963301.426058843,6380887.05171826,31062,DEU,5,0.0969329532676693,0.0969329532676693,0,0,5.65062676164629
884502.419566097,6428128.48862013,31063,DEU,4,0.000513690575790068,0.000513690575790068,0,1,
148532.221064457,5849983.48300346,31064,FRA,9,0.153962164801937,0.153962164801937,0,0,8.34437276875913
378575.216682618,6206370.0343044,31065,BEL,4,0.000411981138858944,0.000411981138858944,0,0,
971780.80856513,5855811.98539455,31066,DEU,2,6.990741686197e-005,6.990741686197e-005,0,1,
722961.679326723,5959244.63284541,31067,DEU,2,0.000994119141079485,0.000994119141079485,0,0,
1629792.56682273,6622168.87471702,31068,LTU,4,0.001539318119701,0.001539318119701,0,0,
1064936.26347256,5182774.84283483,31069,ITA,2,0.0361963114539981,0.0361963114539981,0,0,2.46412539521473
895669.423636238,6536657.18512241,31070,DNK,4,3.81592090306804e-005,3.81592090306804e-005,0,0,
281358.561758806,5669957.90103539,31071,FRA,13,0.0580475371309266,0.0580475371309266,0,1,
765996.084104434,6181831.03356936,31072,DEU,4,0.022797536209018,0.022797536209018,0,0,1.66918980443941
318595.012402585,6216065.42921383,31073,NLD,5,0.00269063529290375,0.00269063529290375,0,1,
1862825.01758677,4822628.5670313,31074,GRC,3,0.00322268972901627,0.00322268972901627,0,1,
302500.032097362,6134998.35781992,31075,BEL,6,9.40753483859444e-005,9.40753483859444e-005,0,0,
304077.518426474,6135370.00590236,31076,BEL,3,3.14435282478808e-005,3.14435282478808e-005,0,0,
514446.301165142,6038751.36239412,31077,LUX,8,0.00536561020218581,0.00536561020218581,0,1,
1916899.09908341,4960275.28574228,31078,GRC,4,0.00392017714631557,0.00392017714631557,0,0,
1911303.48293887,5042181.10553351,31079,GRC,3,0.00985699830328673,0.00985699830328673,0,0,
1913592.51666869,5042947.7936572,31080,GRC,4,0.00894839241365995,0.00894839241365995,0,0,
824501.66587603,6561006.31609054,31081,DNK,2,5.19654549791012e-005,5.19654549791012e-005,0,0,
809943.27022015,6373676.81077933,31082,DEU,3,0.000272523762052879,0.000272523762052879,0,0,
