lat,lon,State,panel.area,power,panels,landscape.area,water,urban,Address,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh,land_cover,min distance to city (in miles),slope,elevation
35.706822905,-120.57065258109,CA,0.000187163734585,,6.0,0.002055327848047,0.0,0.0,"2130 Presidio Way, San Miguel, CA 93451, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,117.4849,6,297
35.514848384217,-120.73147969116,CA,2.61775517165661e-05,,4.0,3.64851783721242e-05,0.0,0.0,"3000 White Oak Ln, Templeton, CA 93465, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,93.683,12,357
35.0798592752047,-120.510695950612,CA,0.0004364611465831,,44.0,0.817507521318436,0.0,0.0,"426 Rim Rock Rd, Nipomo, CA 93444, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,21.103,7,136
35.0656267433698,-120.520861257402,CA,0.0003529556190744,,21.0,0.22600106400378,0.0,0.0,"1250 Futura Ln, Arroyo Grande, CA 93420, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,21.4324,2,139
35.054287823347,-120.524851897113,CA,8.79604017008096e-05,,15.0,0.0066252453221781,0.0,0.0,"1155 Rolling Oaks Dr, Arroyo Grande, CA 93420, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,20.4128,5,122
35.0395525861972,-120.514513327917,CA,0.0003270393515399,,18.0,0.823989989155766,0.0,1.0,"764 Pomeroy Rd, Nipomo, CA 93444, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,18.0259,3,107
35.2397686999412,-120.678621499932,CA,0.0003503070403933,,6.0,0.0005605591976344,0.0,1.0,"4325 S Higuera St, San Luis Obispo, CA 93401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,48.1278,2,40
35.2538270301719,-120.762803714927,CA,0.0002194599001824,,12.0,0.0365402972924337,0.0,0.0,"4450 Prefumo Canyon Rd, San Luis Obispo, CA 93405, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,59.5567,18,405
35.2241741125972,-120.649763153833,CA,0.0004287422202614,,42.0,0.341434737557173,0.0,0.0,"5049 Country Ln, San Luis Obispo, CA 93401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,48.514,2,51
35.1377515257789,-120.554986809459,CA,7.39798036434222e-05,,5.0,0.006443359606988,0.0,1.0,"212 Country Hills Ln, Arroyo Grande, CA 93420, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,31.0415,3,105
35.5423735983089,-120.729090633536,CA,0.0001873393122141,,14.0,0.0249452018335835,0.0,1.0,"1060 Casteel Ln, Templeton, CA 93465, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,89.4443,2,277
35.3978638422091,-120.631401390182,CA,0.0001248344130478,,9.0,0.0001436004518195,0.0,0.0,"99X9+4C Santa Margarita, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,75.0025,12,328
35.42014890067,-120.618684244011,CA,0.0006492445957529,,45.0,0.85062023016715,0.0,0.0,"9185 Harvest Way, Atascadero, CA 93422, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,74.7572,2,301
38.4793030456954,-121.473691022485,CA,0.0047995237439423,,17.0,0.0140048413066864,0.0,1.0,"3100 Meadowview Rd, Sacramento, CA 95832, USA",4974154.736842105,15596537.736842103,17226081.736842103,1.0,13.7433,0,6
35.2724722993844,-120.637095127178,CA,0.000202171945251,,15.0,0.113190390735865,0.0,1.0,"1697 El Cerrito Ct, San Luis Obispo, CA 93401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,51.3336,16,175
35.5656390888877,-120.685661261343,CA,0.0001337940091881,,7.0,0.006305708858475,0.0,0.0,"375 Vaquero Rd, Templeton, CA 93465, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,92.5168,2,231
35.2592754786228,-120.626978577074,CA,0.0003540635132973,,28.0,0.264057159603466,0.0,0.0,"3812 Sequoia Dr, San Luis Obispo, CA 93401, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,50.656,5,107
35.5923082618108,-120.636164390521,CA,7.45241354228929e-05,,4.0,9.88995395796373e-05,0.0,0.0,"3050 Creston Rd, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,103.9718,9,292
