Latitude,Longitude,State,panel.area,power,panels,landscape.area,water,urban,Address,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh
33.9944764999999,-117.4297158,CA,0.0001406266846412,,1.0,0.0,0.0,1.0,"6305 45th St, Riverside, CA 92509, USA",7180264.736842105,7831485.736842105,10290756.736842105
36.3892637,-105.5807759,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"116 Cruz Alta Rd, Taos, NM 87571, USA",4974154.736842105,4974154.736842105,4974154.736842105
36.4112321,-105.5748151,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"400 Cam De La Placita, Taos, NM 87571, USA",4974154.736842105,4974154.736842105,4974154.736842105
36.3770976,-105.5903386,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"1314 Paseo Del Pueblo Sur, Taos, NM 87571, USA",4974154.736842105,4974154.736842105,4974154.736842105
36.3909032,-105.5755896,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"134 Cervantes St, Taos, NM 87571, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.6835007,-105.9364587,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"239 E De Vargas St, Santa Fe, NM 87501, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7036353,-105.9437523,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"388 Calle Loma Norte, Santa Fe, NM 87501, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7071289,-105.9298125,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"1030 Mansion Ridge Rd, Santa Fe, NM 87501, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7370242,-105.9072471,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"3 Eccola Ln, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7533421,-105.9317009,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"25 Meredith Dr, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7778004,-105.9204607,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"4 3 Rock Rd, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
