,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
4219,-120.5456411505233,37.68040911325155,1.0,157617.0,73.13380000000001,73.13380000000001,Merced,"(37.3057, -120.4779)",[73.13380000000001],[157617],['Merced'],"[(37.3057, -120.4779)]",
4220,-120.955519734013,35.74455178600478,1.0,142230.0,145.4494,145.4494,Santa Maria,"(34.9333, -120.4431)",[145.4494],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4221,-120.73979416375526,37.03512333750263,1.0,157617.0,50.9429,50.9429,Merced,"(37.3057, -120.4779)",[50.9429],[157617],['Merced'],"[(37.3057, -120.4779)]",
4222,-121.86156712909552,36.213850532004,1.0,116189.0,67.0188,67.0188,Seaside,"(36.6224, -121.8199)",[67.0188],[116189],['Seaside'],"[(36.6224, -121.8199)]",
4223,-124.21297584490496,40.08556518649753,1.0,121498.0,359.9156,359.9156,Redding,"(40.5698, -122.365)",[359.9156],[121498],['Redding'],"[(40.5698, -122.365)]",
4224,-117.5902008379922,33.35894982717543,1.0,588540.0,32.718900000000005,32.718900000000005,Mission Viejo,"(33.6096, -117.6551)",[32.718900000000005],[588540],['Mission Viejo'],"[(33.6096, -117.6551)]",
4225,-115.86439627593022,33.35894982717543,1.0,361831.0,59.207,59.207,Indio,"(33.7346, -116.2346)",[59.207],[361831],['Indio'],"[(33.7346, -116.2346)]",
4226,-119.59644864138922,33.280733369508894,1.0,198240.0,84.278,84.278,Santa Barbara,"(34.4285, -119.7202)",[84.278],[198240],['Santa Barbara'],"[(34.4285, -119.7202)]",
4227,-115.67024326269824,33.280733369508894,1.0,110434.0,75.76769999999999,75.76769999999999,El Centro,"(32.7865, -115.5595)",[75.76769999999999],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4228,-118.28052266281696,33.378503941592065,0.0,,,,,,[],[],[],[],0.0
4229,-122.3145908266368,38.18881608808403,2.0,268012.0,15.7635,31.1643,Napa,"(38.2975, -122.301)","[15.7635, 31.1643]","[86130, 181882]","['Napa', 'Vallejo']","[(38.2975, -122.301), (38.1125, -122.2342)]",
4230,-121.90471224314707,36.64404104916994,1.0,116189.0,13.578700000000001,13.578700000000001,Seaside,"(36.6224, -121.8199)",[13.578700000000001],[116189],['Seaside'],"[(36.6224, -121.8199)]",
4231,-118.47467567604892,32.83098873792631,0.0,,,,,,[],[],[],[],0.0
4232,-119.53173097031188,34.02378971734099,1.0,366330.0,8.2868,8.2868,Oxnard,"(34.1964, -119.1815)",[8.2868],[366330],['Oxnard'],"[(34.1964, -119.1815)]",
4233,-120.15733512405936,34.453980234506936,1.0,198240.0,43.3828,43.3828,Santa Barbara,"(34.4285, -119.7202)",[43.3828],[198240],['Santa Barbara'],"[(34.4285, -119.7202)]",
4234,-121.62426900181202,39.44027941074861,1.0,129536.0,44.717699999999994,44.717699999999994,Yuba City,"(39.1357, -121.6383)",[44.717699999999994],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
4235,-122.4008810547399,37.11333979516916,1.0,165933.0,38.9116,38.9116,Santa Cruz,"(36.9789, -122.0346)",[38.9116],[165933],['Santa Cruz'],"[(36.9789, -122.0346)]",
4236,-124.40712885813694,40.22244398741397,1.0,121498.0,333.11940000000004,333.11940000000004,Redding,"(40.5698, -122.365)",[333.11940000000004],[121498],['Redding'],"[(40.5698, -122.365)]",
4237,-121.88313968612132,36.74181162125311,1.0,116189.0,25.9273,25.9273,Seaside,"(36.6224, -121.8199)",[25.9273],[116189],['Seaside'],"[(36.6224, -121.8199)]",
4238,-123.80309726141525,38.97098066474939,1.0,314196.0,144.29410000000001,144.29410000000001,Santa Rosa,"(38.4458, -122.7067)",[144.29410000000001],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
4239,-121.40854343155428,39.57715821166504,1.0,112132.0,61.6722,61.6722,Chico,"(39.7578, -121.8161)",[61.6722],[112132],['Chico'],"[(39.7578, -121.8161)]",
4240,-124.40712885813694,40.41798513158031,1.0,121498.0,302.8555,302.8555,Redding,"(40.5698, -122.365)",[302.8555],[121498],['Redding'],"[(40.5698, -122.365)]",
4241,-120.6319313786264,34.66907549308991,1.0,142230.0,61.097699999999996,61.097699999999996,Santa Maria,"(34.9333, -120.4431)",[61.097699999999996],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4242,-117.18032225450246,32.655001708176606,1.0,274818.0,25.3588,25.3588,Chula Vista,"(32.6281, -117.0144)",[25.3588],[274818],['Chula Vista'],"[(32.6281, -117.0144)]",
4243,-124.3639837440854,40.55486393249674,1.0,121498.0,282.9376,282.9376,Redding,"(40.5698, -122.365)",[282.9376],[121498],['Redding'],"[(40.5698, -122.365)]",
4244,-119.1002798297964,34.06289794617425,1.0,366330.0,21.3296,21.3296,Oxnard,"(34.1964, -119.1815)",[21.3296],[366330],['Oxnard'],"[(34.1964, -119.1815)]",
4245,-124.25612095895652,40.80906741991299,1.0,121498.0,244.6297,244.6297,Redding,"(40.5698, -122.365)",[244.6297],[121498],['Redding'],"[(40.5698, -122.365)]",
4246,-122.4008810547399,37.1328939095858,1.0,105087.0,58.037800000000004,58.037800000000004,San Mateo,"(37.5522, -122.3121)",[58.037800000000004],[105087],['San Mateo'],"[(37.5522, -122.3121)]",
4247,-120.91237461996144,35.3534694976721,1.0,142230.0,75.9312,75.9312,Santa Maria,"(34.9333, -120.4431)",[75.9312],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4248,-118.79826403143556,33.96512737409108,1.0,211045.0,36.881099999999996,36.881099999999996,Thousand Oaks,"(34.1914, -118.8756)",[36.881099999999996],[211045],['Thousand Oaks'],"[(34.1914, -118.8756)]",
4249,-120.9770922910388,38.24747843133393,1.0,175510.0,57.876599999999996,57.876599999999996,Elk Grove,"(38.4161, -121.3842)",[57.876599999999996],[175510],['Elk Grove'],"[(38.4161, -121.3842)]",
4250,-118.32366777686852,32.81143462350968,0.0,,,,,,[],[],[],[],0.0
